# $Id: widgets.txt,v 1.2 2003/06/26 11:51:08 rda Exp rda $
# format: full.widget.name	WidgetClassName
# N.b., it is conventional to use the application class name "Xpp"
# not the application name "xpp" in resource files
# Use a "*" as a wildcard to match zero or more components of a resource name
# Use a "?" as a wildcard for exactly one component of a resource name.
# E.g.,
#	 "Xpp*copy.foreground: red" makes the copy item in all the edit menus red
# 	"Xpp*journal*copy.foreground: red" makes the copy item in the journal popup edit menu only red
#	"Xpp*popup-edit-menu.copy.foreground: red" makes the copy item in all the popup edit menus red
# Motif separator and sash widgets are not listed.
xpp	ApplicationShell
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Options.shell-row-col.edit-frame.edit-row-col.take-backups	XmToggleButton
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Options.shell-row-col.edit-frame.file-type-menu	XmRowColumn
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Options.shell-row-col.edit-frame.file-type-menu.OptionButton	XmCascadeButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Options.shell-row-col.edit-frame.file-type-menu.OptionLabel	XmLabelGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Options.shell-row-col.search-replace-frame	XmFrame
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Options.shell-row-col.search-replace-frame.search-replace-row-col	XmRowColumn
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Options.shell-row-col.search-replace-frame.search-replace-row-col.ignore-case	XmToggleButton
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Options.shell-row-col.search-replace-frame.search-replace-row-col.use-regular-expressions	XmToggleButton
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette	XmDialogShell
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form	XmForm
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.char80	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.char81	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.char82	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.char83	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.char84	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.char85	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.char86	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.char87	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.char88	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.char89	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.char8A	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.char8B	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.char8C	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.char8D	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.char8E	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.char8F	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.char90	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.char91	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.char92	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.char93	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.char94	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.char95	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.char96	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.char97	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.char98	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.char99	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.char9A	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.char9B	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.char9C	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.char9D	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.char9E	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.char9F	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charA0	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charA1	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charA2	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charA3	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charA4	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charA5	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charA6	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charA7	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charA8	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charA9	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charAA	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charAB	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charAC	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charAD	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charAE	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charAF	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charB0	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charB1	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charB2	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charB3	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charB4	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charB5	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charB6	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charB7	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charB8	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charB9	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charBA	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charBB	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charBC	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charBD	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charBE	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charBF	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charC0	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charC1	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charC2	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charC3	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charC4	XmPushButtonGadget
